id,Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Founded Date,Number of Articles,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Last Funding Amount Currency (in USD),Total Funding Amount Currency (in USD),Number of Lead Investors,Number of Investors,Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active
11,Rwanda Foam,https://www.crunchbase.com/organization/rwanda-foam,Rwandafoam provide clients with the best quality foams and spring mattresses as well as other products to expand their choice and obtain the best value for their time and money.,"Consumer Goods, Manufacturing","Kigali, Butare, Rwanda",Rwanda Foam is a foam production company. The company produces better quality foam for mattresses and other bedding's.,103656,6000000,Active,01/01/1981,,"Consumer Goods, Manufacturing",1,Makuza Bertin,30,1,5000000,5000000,1,1,3,,,,,,,,,,,,,,,,12,,,
12,Digital Realm Entertainment® Inc,https://www.crunchbase.com/organization/digital-realm-entertainment-inc,"We are the very first Interactive Entertainment organization startup company based in Kigali Rwanda Eastern Africa and in the region leveraging Immersive Technologies delivering games and content. Through Realm-Games® an Internal first party Studio AAA Indie video game currently creating games& contents based only on African culture, Legends, Myths, narratives, facts and histories..","Augmented Reality, Console Games, Gamification, Gaming, PC Games, Video Games, Virtual Reality","Nyarugenge, Kigali, Rwanda","Building African Virtual worlds for Games, AR/VR, XR, interactive content and Esports",105001,,Active,07/09/2018,5,"Gaming, Hardware, Software",1,Thomas Shiva,30,3,57000,82000,,2,9,,,,,,,,,,,,,,,,,,,
13,AC Group,https://www.crunchbase.com/organization/ac-group,"AC Group Ltd is a Hi-tech & ICT company registered under the Rwandan registrar of companies. As a “Technology enabler”, they are a leading Solution Provider of Intelligent and Interactive Solutions in Rwanda, expanding to regional markets with an aim of being part of building a regional ICT hub. In December 2015, They launched Tap&Go card for passengers under the “One card one City campaign” on the biggest bus operator in Kigali - Kigali Bus Services (KBS) in partnership with the Government of Rwanda.","Automotive, Information Technology, Logistics, Telecommunications","Kigali, Butare, Rwanda",AC Group Ltd is a Hi-tech & ICT company registered under the Rwandan registrar of companies.,122453,500000,Active,,1,"Hardware, Information Technology, Transportation",1,Patrick Nsenga Buchana,30,1,100000,100000,1,1,3,,,,89,,,89,,1.84,,15.73%,,9269187,,,21,,,
14,MERGIMS,https://www.crunchbase.com/organization/mergims-corporation,"Mergrims is a prepayment platform of products and services of first necessity in Rwanda. It is the sole platform to enable ""Prepayment"" of more than airtime and electricity, but also critical services like hospital, medicines, schools or transport! By making mergims available on mobile devices and APIs, they are bringing convenience in already stressful and costly process of sending money back to Africans, so they can meet their basic needs!","Financial Services, FinTech, Mobile, Payments","Kigali, Butare, Rwanda",Mergrims is a prepayment platform of products and services of first necessity in Rwanda.,127429,,Closed,01/01/2014,,"Financial Services, Mobile, Payments",2,"Gilbert Niyo, Louis-Antoine Muhire",5,4,,160000,,1,,,,,,,,,,,,,,,,,8,,,13
15,CareMe Bioplastics,https://www.crunchbase.com/organization/careme-bioplastics,,"Manufacturing, Packaging Services, Plastics and Rubber Manufacturing","Kigali, Butare, Rwanda",CareMe Bioplastics is a bioplastic manufacturing startup that manufactures plastic-like packaging products from natural starch and fibers.,127606,,Active,01/01/2018,,"Administrative Services, Manufacturing",,,5,1,122823,122823,1,1,10,,,,,,,,,,,,,,,,,,,
16,Mulika farms,https://www.crunchbase.com/organization/mulika-farms,"At Mulika Farms we empower the farmer to become a business himself. We do it by Providing him direct access to transparent market information. In this way we cut down the supply chain, thus increasing the value of their crops. In order to facilitate this we provide them with on demand logistical support since that’s one of the reasons why small scale farmers are not able to take their produce to market.",,"Nyarugenge, Kigali, Rwanda","online marketplace for farmers. we connect farmers directly to large market. by cutting down the supply chain, we increase their value",134816,,Active,01/10/2022,,,2,"Hervé Girihirwe, Leon Karekezi",,2,12500,22500,,,2,,,,,,,,,,,,,,,,,,,
17,HeptaPay,https://www.crunchbase.com/organization/heptapay,HeptaPay is a bill payment application serving East African Region.,"Billing, Payments","Kigali, Butare, Rwanda",HeptaPay is a bill payment application serving East African Region.,135174,,Active,01/01/2020,1,"Financial Services, Payments, Software",,,30,2,,10000,1,1,10,,,,575,"3,091.17",1123.40%,0,,1,0%,100%,0%,7437453,-2059541,-21.69%,4,,,
18,BeneFactors,https://www.crunchbase.com/organization/benefactors,"BeneFactors Ltd. is a Rwandan factoring company, providing tailored working capital solutions to firms. Factoring is a financial service, where future payments from your buyers are sold to a third party, the factor for cash. They can work with pending invoices or purchase orders for delivery.  This means that you can continue working even if your buyers take a long time to pay or take on more clients at the same time - allowing you peace of mind as you grow your business.",Financial Services,"Mont Kigali, Kigali, Rwanda","BeneFactors Ltd. is a Rwandan factoring company,",136585,,Active,01/01/2017,,Financial Services,2,"Jani Moliis, Olivia Bryanne Zank",5,2,400000,550000,,2,5,,,,,,,,,,,,,,,,6,,,
19,Inyenyeri,https://www.crunchbase.com/organization/inyenyeri,Inyenyeri gets the even the poorest of Rwandan households to switch from cooking with wood and charcoal by providing clean and renewable fuel that cooks better and is more affordable. Inyenyeri is a for-profit social enterprise. Profitability ensures sustainable social impact and increases access to financial capital needed to scale quickly.,"Energy, Environmental Consulting, Renewable Energy","Gisenyi, Gitarama, Rwanda",Inyenyeri A Rwandan Social Benefit Company,136686,,Closed,01/01/2012,1,"Energy, Professional Services, Sustainability",1,Eric Reynolds,175,1,1200000,1200000,1,1,4,,,,,,,,,,,,,,,,12,,,
20,ZEV,https://www.crunchbase.com/organization/zev,"Electric Vehicles, Green Energy, Zero Emission Vehicles","Automotive, Electric Vehicle, Manufacturing","Kigali, Butare, Rwanda","ZEV is an electric vehicle brand that develops electric cars, electric motorcycles, electric buses, and other vehicles.",144363,,Closed,12/07/2018,,"Manufacturing, Transportation",1,Wood Wedson Pierre,75,1,500000,500000,1,1,4,,,,,,,,,,,,,,,,,,,
