id,Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Founded Date,Number of Articles,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Last Funding Amount Currency (in USD),Total Funding Amount Currency (in USD),Number of Lead Investors,Number of Investors,Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active
41,Africa XYZ,https://www.crunchbase.com/organization/africa-xyz,"Africa XYZ is a pan-African multinational investment firm. They offer solutions to help African entrepreneurs benefit from the digital revolution in Africa and throughout the world. They offer funds to SMEs in order to help them re/boost their growth. GoCashless, Africa Online, and E-merchant card are their solutions.","Banking, Finance, Financial Services, Internet","Kigali, Butare, Rwanda",Africa XYZ is a multinational investment company.,277793,,Active,01/01/2019,,"Financial Services, Internet Services, Lending and Investments",,,30,,,,,,4,,,,,,,,,,,,,,,,8,1,,
42,Bank of Kigali,https://www.crunchbase.com/organization/bank-of-kigali,Bank of Kigali in business to create value for our stakeholders and endeavor to provide the best financial services to business and individuals. We invest in our employees and provide them with meaningful rewards that encourage them to make significant contributions to the company and the community. Bank of Kigali aspires to be the best and most innovative provider of financial solutions in the region.,"Banking, Financial Services","Kigali, Butare, Rwanda",Bank of Kigali is a provider of financial solution in the region.,278036,,Active,,9,"Financial Services, Lending and Investments",,,750,,,,,,2,"Finance, Information Technology, Marketing, Operations, Product",24,,"32,738","15,129.33",57.17%,256,-71.96%,1.85,-39.65%,26.92%,-35.05%,890265,-401248,-31.07%,20,5,182,
43,Rwanda Development Board,https://www.crunchbase.com/organization/rwanda-development-board,"The Rwanda Development Board is evidence that Rwanda is open for business. It is truly a one stop shop for all investors. The Rwanda Development Board was set up by bringing together all the government agencies responsible for the entire investor experience under one roof. This includes key agencies responsible for business registration, investment promotion, environmental clearances, privatization and specialist agencies which support the priority sectors of ICT and tourism as well as SMEs and human capacity development in the private sector. The RDB is independent and influential. It reports directly to the President and is guided by a Board that includes all the key Ministers (e.g., finance, commerce, infrastructure, agriculture)","Association, Finance, Government, Infrastructure","Kigali, Butare, Rwanda",RDB was set up by bringing together all the government agencies responsible for the entire investor experience unde,295011,,Active,01/01/2008,571,"Financial Services, Government and Military, Other",,,75,,,,,,3,"Finance, Information Technology, Legal, Management, Marketing, Operations, Product",30,,"25,676","942,933.17",-32.53%,562,-31.71%,2.7,-16.93%,56.20%,-3.42%,1057459,232578,28.20%,56,,,
44,FOODLINE,https://www.crunchbase.com/organization/foodline-d4a2,"FOODLINE is a distribution hand of smallholder farmers whose specialization is Non-GM groceries to bridge the gap between food insecurity, and side effects generated by GMOs. By leveraging on contract management, we supply Non-GM seedlings to our contracted smallholder farmers, purchase the harvest, clean whatever needs to be cleaned, package, and distribute to our brand vendors in public markets for retailing. We use online food retailing to attract a large audience. We use a combination of advertisement tools to push traffic to our digital marketplace, including social media channels such as Facebook, WhatsApp, Instagram, and Twitter. We also reach out to prospective customers through our physical stores and distribution points.","Agriculture, E-Commerce, Supply Chain Management","Kicukiro, Kigali, Rwanda",. FOODLINE specializes in Non-GM grocery farming and production lines.,297384,,Active,16/03/2020,,"Agriculture and Farming, Commerce and Shopping, Transportation",3,"Emmy Mugunga, Eric Josue Ishimwe, Gilbert Ngororano",5,1,5000,5000,,,3,,,,,,,,,,,,,,,,1,,,
45,Kepler,https://www.crunchbase.com/organization/kepler,"Kepler is a non-governmental organization working in Rwanda since 2013, in partnership with Southern New Hampshire University. SNHU provides students in East Africa with access to accredited American degrees through their innovative competency-based online degree. The online work is paired with extensive support services provided by Kepler, which include in-person coaching, health and financial support services and career preparation. Kepler makes sure that graduates are able to apply the skills developed through the SNHU degree to meet the labor market needs in countries with developing economies.",Education,"Kigali, Butare, Rwanda","Kepler is a nonprofit, blended-learning university designed for the developing world.",306347,500000,Active,01/01/2013,51,Education,1,Jamie Hodari,30,,,,,,2,"Management, Operations",8,,578,811.33,1651.52%,509,842.59%,1.3,-13.91%,84.78%,69.56%,7433214,-2117672,-22.17%,16,9,,16
46,The New Times,https://www.crunchbase.com/organization/the-new-times,"The New Times is a national English language newspaper in Rwanda. The newspaper as well its official website publishes news, opinion pieces, and other content on politics, business, technology, sports, education, health, and lifestyle. It also has a section named ‘women’. The New Times was launched in 1995 and is published by The New Times Publications, a printing and publishing company located in Kigali, Rwanda.",News,"Kigali, Butare, Rwanda",The New Times is a national English language newspaper in Rwanda.,311129,6000000,Active,01/01/1995,8,"Content and Publishing, Media and Entertainment",,,30,,,,,,4,,,,"157,012","131,012.33",45.52%,176,7.32%,1.63,14.76%,74.53%,-8.79%,291920,-100012,-25.52%,9,,,
47,GET IT Rwanda,https://www.crunchbase.com/organization/get-it-rwanda,"GET IT is providing produce and dry goods delivery services, including cold storage, beginning with hotels and restaurants. Through its focus on systems, training and superior execution, GET IT seeks to solve the deficiency of cold storage and logistics services in Rwanda and beyond. The company sources produce directly from farmers, cutting out several middlemen who add little value, providing higher quality products at lower cost. GET IT is also introducing new, high demand products to the East African market.",Food Delivery,"Kigali, Butare, Rwanda","GET IT Rwanda is providing produce and dry goods delivery services, including cold storage, beginning with hotels and restaurants.",311330,,Active,01/01/2014,,"Food and Beverage, Transportation",1,Lauren Nkuranga,5,2,,,1,3,3,,,,,,,,,,,,,,,,4,,,
48,MVend Limited,https://www.crunchbase.com/organization/mvend-group,,"Financial Services, Software","Kigali, Butare, Rwanda","MVEND Group is a software development company that provides payment tools, financial technology, and APIs for e-commerce and e-payments.",312146,6000000,Active,01/08/2013,,"Financial Services, Software",,,5,,,,,,9,,,,,,,,,,,,,,,,4,1,,
49,Mara Phones,https://www.crunchbase.com/organization/mara-phones,Mara Phones is a technology-centric brand focusing on the smartphone growth enabling access to transformational tools and services with the latest technology for smartphones. The Mara Phone is designed in partnership with Google as part of the Android One Program.,"Consumer Electronics, Mobile","Kicukiro, Kigali, Rwanda",Mara Phones is a technology-centric brand focusing on the smartphone growth.,320905,30000000,Active,01/01/2018,7,"Consumer Electronics, Hardware, Mobile",,,30,,,,,,3,,,,"4,318",,1511.19%,"1,039",,1.61,61.42%,50.76%,-49.24%,3224679,-5525359,-63.15%,6,,,2
50,Tabiri Analytics,https://www.crunchbase.com/organization/tabiri-analytics,"Tabiri Analytics primarily offers local solutions to global security threats. It provides cybersecurity monitoring and remediation using machine learning in a global sourcing model from East Africa. The company was founded in 2018  and is headquartered in Kigali, Rwanda.","Cyber Security, Information Technology, Security","Kigali, Butare, Rwanda",Tabiri Analytics is a service platform that provides automatic cybersecurity services by machine learning.,360900,,Active,01/01/2018,1,"Information Technology, Privacy and Security",3,"Edwin Kairu, Savannah Kadima, Victor Kagimu",5,3,,,3,3,5,Management,1,,,,,,,,,,,,,,13,,,
51,Yegomoto,https://www.crunchbase.com/organization/yegomoto,"Yegomoto is a motorcycle ride-hail company based in Rwanda. It aims to make Rwanda’s motos more efficient while bringing transparency and fairness to the fares, for both, the driver and passenger. Yegomoto equips the motos with a Yegomoto Meter, which calculates the fare (based on distance travelled and time taken) and helps drivers navigate in real-time.  Yego is also set to introduce prepaid “Tap & Pay” contactless cards, which means that passengers no longer have to worry about carrying exact change to pay their fare. Yego’s Tap & Pay cards work over USSD and utilize NFC technology, allowing passengers to pay fares from their linked mobile wallet by simply tapping their cards onto the Yegomoto Meter. The platform will become the logistics basis for e-commerce in Kigali, and later in the rest of the country. Since only 30% of the phones in Rwanda are smartphones, Yego is aware that their services need to be accessible to feature phone users, as well Yego is currently in the process of creating a Butler Service whereby users could order goods and services to their doorstep! Yego will use the very same logistics network it has created to deliver the goods and services to the caller via a Yegomoto, while providing drivers and businesses additional revenue opportunities. ","Internet, Ride Sharing, Transportation","Kigali, Butare, Rwanda",Yegomoto is a Singapore-based motorcycle ride-hail company.,372191,6000000,Active,01/01/2016,,"Internet Services, Transportation",,,,,,,,,3,,,,92,,-59.83%,0,,1,0%,100%,0%,9262271,384544,4.33%,2,,,
52,Rwanda Revenue Authority,https://www.crunchbase.com/organization/rwanda-revenue-authority,,"Financial Services, Government, Non Profit","Kibagabaga, Kigali, Rwanda","Rwanda Revenue Authority assesses, collects, and accounts for tax, customs, and other specified revenues.",374184,,Active,01/01/1998,,"Financial Services, Government and Military, Other",,,,,,,,,5,,,,"136,135","32,653.17",451.89%,776,-33.05%,3.73,-67.86%,43.43%,52.76%,323970,-831491,-71.96%,43,,,
53,Babyl,https://www.crunchbase.com/organization/babyl,"Babyl is a digital healthcare provider that combines the latest technology with the knowledge and experience of the best doctors to make healthcare simpler, better, more accessible and affordable for people everywhere.","Consulting, Health Care, Information Services","Kigali, Butare, Rwanda",babyl is a digital healthcare provider that combines the latest technology with the knowledge and experience of the best doctors.,386214,,Active,01/01/2014,1,"Health Care, Information Technology, Professional Services",1,Shivon Byamukama,375,1,,,,1,2,,,,28,,-98.91%,0,,1,0%,100%,0%,9490821,5180342,120.18%,36,,,
54,Sunripe Farms Rwanda,https://www.crunchbase.com/organization/sunripe-farms-rwanda,,"Agriculture, Farming, Sustainability","Kigali, Butare, Rwanda",Sunripe Farms Rwanda is an agricultural farm specializing in the produced crops.,386694,,Active,01/01/2016,,"Agriculture and Farming, Sustainability",,,30,,,,,,11,,,,,,,,,,,,,,,,,,,
55,Cogebanque,https://www.crunchbase.com/organization/cogebanque,"COGEBANQUE (Compagnie Générale de Banque Limited) is a commercial bank approved by the National Bank of Rwanda (BNR) in 1999. It is registered in Rwanda Development Board (RDB ) as an economic operator under the code 100 005 973 . The bank is relatively new, since it only has 13 years of existence. Established only in Kigali on its debut, the Bank initially setup its headquarters inside Telecom House in Kacyiru district. Later moving their headquarters and main branch, to a new building called Centenary House located in the center of the capital in 2004. The Bank’s rapid growth and popularity soon rendered their premises too small. At the end of 2004, the Bank had already opened five branches; Central Branch (relocated from Kacyiru), Roundabout Branch (opened in 2000), Nyabugogo Branch (opened in 2002), Remera Branch and Kicukiro Branch (opened in 2004). During 2005 and 2006, the Bank further accelerated the development of its network in Kigali, by opening Nyarutarama Branch (in 2005), but most importantly in provinces, where it established branches in main cities of old provinces or main roads. Thus the establishment in Musanze (2005), Huye (in 2005), Nyamagabe (in 2005), Rubavu (in 2006), Rwamagana (in 2006) and Kamembe (in 2006). With 11 outlets, the Bank for three years then consolidated its new locations, before settling on other places, Muhanga (2009), Kabarondo (in 2009) and Tyazo (in 2011). The Bank now has 15 outlets, in many different places, both suburban areas in Kigali as well as provincial cities, thus ensuring the bank has the potential to strengthen its future. Please note that during the year 2012, the Bank opened a new outlet in Kigali in the building called “Chez Rubangura”. It is intended to relocate the Roundabout Branch, since the building where it is currently housed does not meet planning standards and is intended for demolition. Tentatively, this new site serves as a local relay to the Central Branch during its renovation, till it returns to market standards.","Banking, Finance, Financial Services","Kigali, Butare, Rwanda",Cogebanque is a Rwandan multinational commercial bank.,401061,30000000,Active,01/01/1999,,"Financial Services, Lending and Investments",,,750,,,,,,6,"Information Technology, Management, Operations",27,,310,"6,214.83",-95.45%,"1,075",386.43%,5.4,-10.81%,70.65%,-40%,8308960,5815066,233.17%,34,0,,
56,National Bank of Rwanda,https://www.crunchbase.com/organization/national-bank-of-rwanda,,"Banking, Finance, Financial Services","Kigali, Butare, Rwanda",National Bank of Rwanda is a financial institution that offers banking and financial services.,401580,30000000,Active,01/01/1964,,"Financial Services, Lending and Investments",,,375,,,,,,28,,,,"22,921","10,358.67",692.29%,318,-66.31%,7.61,-90.36%,24.47%,-47.53%,1168315,-2934863,-71.53%,14,,,18
57,Tigo Rwanda Ltd.,https://www.crunchbase.com/organization/tigo-rwanda-ltd,"Tigo Rwanda Ltd. operates as a telecommunications company, provides mobile telecommunications services.",Telecommunications,"Kigali, Butare, Rwanda",Tigo Rwanda Ltd. operates as a telecommunications company.,423660,,Closed,,,Hardware,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
58,Uassy,https://www.crunchbase.com/organization/uassy,"The Republic of Plato Welcome. Thank You For Taking The Valuable Time To Be A Guest Of The Republic Of Uassy. We Hope & Wish This Message Finds You Well. Uassy Values Human, Especially, Women. The main question to be answered in the Republic is: What does Justice mean, and how can it be realized in human society? The Greek word for ‘Just‘ has as many senses as the English ‘right.’ It can mean: observant of custom or of duty, righteous; fair, honest; legally right, lawful; what is due to or from a person, deserts, rights; what one ought to do. Thus it covers the whole field of the individual’s conduct in so far as it affects others-all that they have a ‘right’ to expect from him or he has a right to expect from them, whatever is right as opposed to wrong. A proverbial saying declared that justice is the sum of all virtue. The Republic of Plato – Translated with Introduction and Notes by Francis Macdonald Comford, Oxford University Press, Book I, p. 1. The Mission Of Uassy, Is Making Quality Garments Accessible With Imagination, Innovation, And Originality. The Philosophy Of Uassy; Producing A Value Is Only Possible With Equity / Equality, Diversity, And Inclusion For Well-Being Of Present Civilization Of The 21st Century. The Infrastructure Of Uassy Refers To The Thought Of Plato. Plato’s Teacher, Socrates; And Plato’s Student, Aristotle; as well as, Protagoras, Not Only Laying The Foundation Of Art, Science, And Philosophy With Their Unique Thoughts But Also Have Built The Infrastructure, And Shared With That Century, As Well As Transferred The Foundation, e.g., Ontology, Epistemology, And Methodology To The Next Generations. Understanding A Life Experience, e.g., Of A Human, Is A Physical Phenomenon. Beyond The Physical Phenomenon, Feeling The Life Experience With Empathy Is A Metaphysical Phenomenon. A Human Can Shape A Thought. Life Comes Human With A Choice According To An Individual’s Experience Gained From A Knowledge. The Knowledge Is Not ‘Just‘ A Simple Phenomenon. The Knowledge Equally Comes Human Without A Choice For Each Individual With The Gift Of Increasing The Level Of Individual’s Knowledge. The Choice Is The Individual’s Decision In Respond To A Particular Fact (Maximus: The Fact Should Be Considered As Plural, i.e., ‘Facts’ Because The Facts Are Continuous For Human) That Determines Whether The Individual Passes The Exam For Earning The Gift Of The Universal Core For Accessing The Next Level Of The Knowledge. Meanwhile, The Determination Is The Consequences Of The Individual’s Decision That Comes From The Transformation Of A Metaphysical Phenomenon Into A Physical Phenomenon (i.e., Material, World, World-li-ness). A Choice Comes With The Choices. The Matter For The Choice Is Related To ‘Negative’ Or ‘Positive’ Response To A Fact. The Matter For The Choices Are Related To The Facts, And The Terms For Each Fact Is Interchangeable. For Example, ‘A Table’, As A Term, Can Be Defined As ‘Meeting Table’, That Allows People To Make A Meeting, And Can Also Be Defined As ‘Studying Table’, That Allows People To Study. Connect To The Universal Core To Shape The Thought Headquartered in Rwanda, Uassy LTD is operating World-wide.","Internet, News, Video","Kigali, Butare, Rwanda","Headquartered in Kigali 20093 Republic of Rwanda, Uassy is an Internet Company",432820,,Active,30/04/2021,,"Content and Publishing, Internet Services, Media and Entertainment, Video",1,Ka Ka,5,,,,,,15,,,,,,,,,,,,,,,,1,,,
59,Sarura Commodities Ltd,https://www.crunchbase.com/organization/sarura-commodities-ltd,"Sarura is a grain trading company based in Kigali, Rwanda, that links small holder farmers with local and international off-takers, such as Africa Improved Foods and World Food Program.",Commercial,"Kigali, Butare, Rwanda",Sarura Commodities Ltd is a grain trading company.,439061,,Active,01/01/2012,,Other,,,5,1,,,1,1,,,,,,,,,,,,,,,,,3,,,
60,Kivu Noir Coffee,https://www.crunchbase.com/organization/kivu-noir-coffee,"Kivu Noir Coffee is a premium, handcrafted coffee, made with meticulous care. They offers highest quality single estate Arabica coffee products. They address inquiries through phone calls and emails.","Coffee, Food and Beverage","Kigali, Butare, Rwanda","Kivu Noir Coffee harvests, processes, roasts, and sells coffee products.",448693,6000000,Active,01/01/2018,,Food and Beverage,,,30,,,,,,10,,,,,,,,,,,,,,,,10,,,16
61,Tele10,https://www.crunchbase.com/organization/tele10,"TELE-10 Group is Pay-TV distribution. With 24 years of experience in this field, Tele10 emerged as one of the most successful and respected companies in the region. Indeed, its know-how allows the Group to become the exclusive distributor of DSTV and CANALSAT in Rwanda and Burundi.Tele10 Group has principally started as a pay-tv operator but has evolved to encompass other media services and ICT services through its subsidiaries.","Broadcasting, Information Technology","Kigali, Butare, Rwanda",TELE-10 Group is Pay-TV distribution.,451751,,Active,01/01/1993,,"Information Technology, Media and Entertainment, Video",,,,,,,,,,,,,,,,,,,,,,,,,3,,,
62,Laterite,https://www.crunchbase.com/organization/laterite,,"Advice, Analytics, Consulting, Market Research","Kigali, Butare, Rwanda","Laterite provides data collection, analysis, research, and technical advisory services to organizations to solve development challenges.",497135,6000000,Active,01/01/2010,,"Data and Analytics, Design, Media and Entertainment, Professional Services",,,175,,,,,,11,Management,5,,"3,313","2,590.83",-46.09%,1,-99.17%,1.21,-49.39%,78.72%,122.81%,3726456,1036054,38.51%,28,,,
63,Entrepreneurial Solutions Partners,https://www.crunchbase.com/organization/entrepreneurial-solutions-partners,"Entrepreneurial Solutions Partners is dedicated to provides innovative and impactful solutions to empower entrepreneurs. They believe in the power of entrepreneurs to enable prosperity. Yet, entrepreneurs in Africa face a vicious cycle keeping their businesses under skilled, undercapitalized and vulnerable. They exist to help these entrepreneurs grow.",Management Consulting,"Kigali, Butare, Rwanda",Entrepreneurial Solutions Partners is dedicated to provides innovative and impactful solutions to empower entrepreneurs.,514524,6000000,Active,01/01/2011,,Professional Services,1,Eric Kacou,30,,,,,,,"Management, Operations",7,,,,,,,,,,,,,,29,,,
64,Genuine Arts,https://www.crunchbase.com/organization/genuine-arts-ltd,,"CRM, Information Technology, Internet","Nyarugenge, Kigali, Rwanda",Kigali based startup that aims to provide access to information to all Rwandans,538691,,Active,27/01/2014,,"Information Technology, Internet Services, Sales and Marketing, Software",2,"Emmanuel DENLINGER, Patrick MUDITI",,,,,,,3,,,,,,,,,,,,,,,,26,,,
65,Paniel Meat Processing and Livestock Bank,https://www.crunchbase.com/organization/paniel-meat-processing-and-livestock-bank,"Paniel Meat Processing and Livestock Bank produces meat products sourced from farming livestock. The company’s products include sausages, meat balls, fresh meat, dried meat, and salted meat. These products are made with either beef, pork, chicken, goat, fish, or rabbit. PMP supplies to over 150 supermarkets, restaurants, hotels, butchers, as well as parties, ceremonies, and individual households.","Consumer Goods, Farming, Food and Beverage, Retail","Kigali, Butare, Rwanda",Paniel Meat Processing and Livestock Bank produces meat products sourced from farming livestock.,539141,,Active,01/01/2013,,"Agriculture and Farming, Commerce and Shopping, Consumer Goods, Food and Beverage",,,5,1,,,1,1,4,,,,,,,,,,,,,,,,15,,,
66,Future Dynamic Innovations,https://www.crunchbase.com/organization/future-dynamic-innovations,"Future Dynamic Innovations is a technology services and solutions development company. Through a network of alliances with telecom companies, banks, micro-financial institutions, savings and credit programs, utility companies, revenue agencies, and pay TV providers. They supply e-commerce businesses in the form of business-to-business, and peer-to-peer products and services.","Advice, Business Development, Consulting, Information Technology","Kigali, Butare, Rwanda","Future Dynamic Innovations offers mobile money collections, unstructured supplemental service data, and utility payments.",541629,,Active,01/01/2013,,"Information Technology, Media and Entertainment, Professional Services",1,Butera Rutagaramba,30,,,,,,7,,,,"1,077",977.83,268.84%,"4,332",5754.05%,53.93,1329.02%,24.47%,58.67%,6356572,-2214765,-25.84%,,1,,
67,Chancen International,https://www.crunchbase.com/organization/chancen-international,,,"Kicukiro, Kigali, Rwanda",Education financing,542497,,Active,01/01/2018,1,,,,5,1,,,,1,3,,,,,,,,,,,,,,,,8,,,
68,IGIHE,https://www.crunchbase.com/organization/igihe,,"Consulting, News, Public Relations, Publishing, Web Design","Mont Kigali, Kigali, Rwanda","IGIHE provides publishing, website design, content, hosting, video, media, PR and online multimedia, and consulting services.",549079,,Active,01/01/2009,,"Content and Publishing, Design, Media and Entertainment, Professional Services, Sales and Marketing",,,175,,,,,,10,,,,"3,386,593","17,334,947",10.78%,868,2%,3.04,4.98%,26.52%,0.68%,26922,-2739,-9.23%,40,3,96,32
69,Bafana World,https://www.crunchbase.com/organization/bafana-world,,"Apps, Information Technology, Internet, Music","Kigali, Butare, Rwanda",An online platform that enables artists to collect support from their most passionate fans around the world.,552031,,Active,01/12/2020,,"Apps, Information Technology, Internet Services, Media and Entertainment, Music and Audio, Software",,,5,,,,,,7,,,,422,,1178.79%,0,,1,-50%,100%,,7952677,-1595336,-16.71%,15,,,
70,UZURI K&Y,https://www.crunchbase.com/organization/uzuri-k-y,"Uzuri K&Y is a small shoe manufacturing business, where we saw real potential for growth and impact.The business is owned and run by Kevine and Ysolde - two incredibly committed and talented young women.","Manufacturing, Shoes","Kicukiro, Kigali, Rwanda","Uzuri K&Y is a small shoe manufacturing business, where we saw real potential for growth and impact.",553678,,Active,01/01/2013,,"Clothing and Apparel, Consumer Goods, Manufacturing",1,Kevine Kagirimpundu,175,1,,,,1,,,,,,,,,,,,,,,,,30,,,
71,RwandAir,https://www.crunchbase.com/organization/rwandair,,"Air Transportation, Customer Service, Transportation","Kigali, Butare, Rwanda",RwandAir is the national carrier of the Republic of Rwanda.,554850,75000000,Active,01/01/2001,,"Other, Professional Services, Transportation",,,750,,,,,,3,,1,,"72,258","104,982",1.24%,505,44.70%,3.7,3.01%,48.77%,28.07%,512844,-16856,-3.18%,32,1,"1,501",14
72,Vibe House,https://www.crunchbase.com/organization/vibe-house,"Vibe House offers to rent, buy, and sell property services. They publish property tours of properties and share their excitement for real estate investment opportunities.","Commercial Real Estate, Property Management, Real Estate, Rental Property, Sales","Kicukiro, Kigali, Rwanda",Vibe House is a real estate agency.,556985,,Active,01/01/2018,,"Real Estate, Sales and Marketing",,,5,,,,,,16,,,,847,"4,726",-77.38%,24,-52%,1.78,33.27%,65.56%,-1.66%,6664970,3096784,86.79%,,,,
73,kLab,https://www.crunchbase.com/organization/klab-2,"As Rwanda strives towards establishing a knowledge based economy and achieving its Vision 2020 goals, fostering innovative ICT based SMEs becomes critically important. kLab (knowledge Lab) is a unique open technology hub in Kigali where students, fresh graduates, entrepreneurs and innovators come to work on their ideas/projects to turn them into viable business models. The growing kLab community is also made of experienced mentors who provide both technical and business assistance to needy members. At kLab they also host events, workshops, bootcamp, hackathons and networking sessions to promote collaboration/partnerships, investment and financing. kLab's mission is to promote, facilitate and support the development of innovative ICT solutions by nurturing a vivid community of entrepreneurs and mentors.","Communities, Education, Information Technology","Kigali, Butare, Rwanda","kLab is a Rwanda-based company that promotes, facilitates, and supports the development of ICT solutions.",560435,6000000,Active,01/01/2012,,"Community and Lifestyle, Education, Information Technology",10,"Alex Ntale, Atsushi Yamanaka, Claude K. Migisha, Clement Uwajeneza, Elie Gatete Magambo, Eric Newcomer, Martin .C. Mwizerwa, Michel Bézy, Nicolas Pottier, Patrick Kabagema",75,,,,,,3,,,,19,144.67,-84.30%,0,-36.58%,1,-45.50%,100%,94.55%,9524912,253647,2.74%,5,45,"658,829",10
74,Wouessi Limited,https://www.crunchbase.com/organization/wouessi-limited,"Wouessi is a company focused on delivering digital solutions by combining solid business foundations with global technical and digital expertise. Our goal is to help small and medium-size deliver quantifiable and sustainable results by optimizing their digital footprint through increased brand awareness, lead generation, and Online Sales.","Business Intelligence, Digital Marketing, Information Technology, Outsourcing, Software","Kigali, Butare, Rwanda",Wouessi is a Intelligence company focused on delivering intelligent digital solutions to small and medium-size companies.,576302,,Active,03/04/2020,,"Data and Analytics, Information Technology, Professional Services, Sales and Marketing, Software",1,Rodrigue Fouafou,30,,,,,,3,,,,,,,,,,,,,,,,82,,,
75,Shambapro,https://www.crunchbase.com/organization/shambapro,"Shambapro assists in the development and operation of sustainable farm companies. They provide the opportunity for small-scale farmers to obtain appropriate agricultural financing without the need for conventional collateral and additional value-chain services, including marketplaces, inputs, agriculture extension services, and technical assistance. The platform is accessible to small farmers by downloading the app, a user-friendly farm management tool.","Agriculture, Farming","Kigali, Butare, Rwanda",Shambapro is an agtech company.,577745,,Active,01/01/2018,,Agriculture and Farming,1,Kelvin Odoobo,5,1,,,,1,10,Operations,1,,,,,,,,,,,,,,23,2,,
76,Food Bundles,https://www.crunchbase.com/organization/food-bundles,Online food store Food Bundles specializes in selling smallholder farmers' fresh fruits and vegetables. The company distributes it products to consumers in various Rwandan cities. The company also focuses on providing smallholder farmers direct access to markets through the digitalization their fresh food supply chain.,"E-Commerce, Food and Beverage, Food Delivery, Grocery, Organic, Retail","Kigali, Butare, Rwanda",Food Bundles is an online food store which specializes in the sales of fresh fruits and vegetables sourced from smallholder farmers.,579918,,Active,,,"Commerce and Shopping, Food and Beverage, Sustainability, Transportation",,,5,,,,,,3,,,,,,,,,,,,,,,,4,,,
77,Happening,https://www.crunchbase.com/organization/happening-3,,"Event Management, iOS, Mobile, Social Media, Software","Kigali, Butare, Rwanda",Social Media App. Showing users whats happening around them,592564,6000000,Active,01/05/2017,,"Events, Internet Services, Media and Entertainment, Mobile, Platforms, Software",,,,,,,,,3,,,,"76,914","140,100.83",-48.99%,39,-98.32%,1.27,19.49%,78.37%,-16.14%,489803,184083,60.21%,13,12,285,1
78,Rwanda Trading Company,https://www.crunchbase.com/organization/rwanda-trading-company,,"Food and Beverage, Small and Medium Businesses, Social Impact","Kigali, Butare, Rwanda","Rwanda Trading Company offers financial literacy, agribusiness management, and agronomy training programs.",606655,,Active,01/01/2009,,"Food and Beverage, Other",,,30,,,,,,,"Finance, Operations, Product",3,,56,,,0,,1,,100%,,9395069,,,17,,,
79,Inkomoko,https://www.crunchbase.com/organization/inkomoko,Inkomoko is a full-service firm focused on developing small to mid-sized enterprises.  Our services assist with creating new companies and growing them into effective businesses.,"Consulting, Information Technology","Kigali, Butare, Rwanda",Inkomoko is a full-service firm focused on developing small to mid-sized enterprises.,612084,,Active,,,"Information Technology, Professional Services",,,30,,,,,,3,Operations,4,,"1,528",895.67,144.87%,88,-95.47%,1.75,-0.15%,50.50%,1%,5617152,-1790276,-24.17%,13,,,8
80,East African Power,https://www.crunchbase.com/organization/east-african-power,,"Energy, Renewable Energy","Kigali, Butare, Rwanda",East African Power is an integrated renewable energy development company delivering affordable and reliable clean energy.,627019,,Active,01/01/2013,,"Energy, Sustainability",,,75,1,,,,1,4,,,,,,,,,,,,,,,,4,,,
81,Oltranz,https://www.crunchbase.com/organization/oltranz,,"Financial Services, Information Technology, Payments, Software","Kigali, Butare, Rwanda","Oltranz provides software and hardware solutions like E-Payments, infrastructure management, SMS, IoT, and customized software.",632525,,Active,01/01/2015,,"Financial Services, Information Technology, Payments, Software",,,5,,,,,,3,"Engineering, Finance",2,,122,254,-81.93%,11,-25.95%,1.5,50%,50%,-50%,9173215,1923725,26.54%,46,1,,26
82,Gahigiro Capital,https://www.crunchbase.com/organization/gahigiro-capital,"Gahigiro Capital  is a corporate finance and advisory services firm, uniting capital with opportunities. They  provide services ranging from business planning and financial analysis to capital raising and transaction structuring for growing and established companies.","Consulting, Finance, Financial Services","Mont Kigali, Kigali, Rwanda",Gahigiro Capital is a financial advisory services firm focuses on equity and debt capital raising.,634165,6000000,Active,01/01/2016,,"Financial Services, Professional Services",,,5,,,,,,3,,,,270,,-37.64%,20,-78.72%,5,25%,0%,,8521496,440614,5.45%,16,,,
83,JobinRwanda,https://www.crunchbase.com/organization/jobinrwanda,"Job in Rwanda - News about jobs, labour market, employment, job offers, and career in Rwanda",Association,"Kigali, Butare, Rwanda","Job in Rwanda - News about jobs, labour market, employment, job offers, and career in Rwanda",643280,6000000,Active,01/07/2011,,Other,,,30,,,,,,,,,,"54,018","41,982.67",244.81%,169,-58.78%,2.62,-4.52%,55.50%,-3.58%,630655,-869443,-57.96%,41,0,,
